tweet_id,username,content,timestamp,likes,retweets,replies,hashtags,mentions,source_hashtag,scraped_at,cashtags,date
"intraday_ishaan|2026-09-05T08:17:12.269575+00:00|Watching #banknifty closely, no clear tr",intraday_ishaan,"Watching #banknifty closely, no clear trend yet. What's everyone's view on 22711? #stockmarket #trading",2026-09-05 08:17:12.269575+00:00,12,1,0,['banknifty'],[],banknifty,2026-09-05 19:16:04.297825+00:00,[],2026-09-05
"niftyguru|2026-09-05T17:18:30.136971+00:00|बाजार में तेजी है, 23302 के ऊपर खरीदारी ",niftyguru,"बाजार में तेजी है, 23302 के ऊपर खरीदारी का मौका #sensex",2026-09-05 17:18:30.136971+00:00,7,1,1,"['sensex', 'nifty50']",[],sensex,2026-09-05 19:16:04.281839+00:00,[],2026-09-05
"bull_on_dalal_st|2026-09-05T09:56:58.651908+00:00|Panic selling in #nifty50, 22409 breakdo",bull_on_dalal_st,"Panic selling in #nifty50, 22409 breakdown confirmed, stop loss hit",2026-09-05 09:56:58.651908+00:00,12,1,1,"['nifty50', 'nifty50']",[],nifty50,2026-09-05 19:16:04.263020+00:00,[],2026-09-05
intraday_ishaan|2026-09-05T16:41:50.462134+00:00|Positional buy initiated on #banknifty a,intraday_ishaan,"Positional buy initiated on #banknifty above 49906, SL below 50206 RBI policy day today.",2026-09-05 16:41:50.462134+00:00,2,0,0,"['banknifty', 'intraday']",[],banknifty,2026-09-05 19:16:04.255989+00:00,[],2026-09-05
"trader_raj|2026-09-05T05:03:43.114694+00:00|#banknifty update: flat session so far, -dup",trader_raj,"#banknifty update: flat session so far, volumes low ahead of RBI policy",2026-09-05 05:03:43.114694+00:00,6,0,0,['banknifty'],['user_e3d83d'],banknifty,2026-09-05 19:16:04.314503+00:00,[],2026-09-05
"chartwizard|2026-09-05T02:33:15.038730+00:00|Sideways action continues on #sensex, 23",chartwizard,"Sideways action continues on #sensex, 23282-22662 range holding Volume bhi zyada hai aaj.",2026-09-05 02:33:15.038730+00:00,0,0,0,['sensex'],['user_a8f895'],sensex,2026-09-05 19:16:04.273015+00:00,[],2026-09-05
"chartwizard|2026-09-05T05:47:28.192604+00:00|#sensex breaking down below 49664, expec",chartwizard,"#sensex breaking down below 49664, expecting further downside to 50114",2026-09-05 05:47:28.192604+00:00,7,2,1,"['sensex', 'nifty50']",['user_6ab96f'],sensex,2026-09-05 19:16:04.281417+00:00,[],2026-09-05
"bull_on_dalal_st|2026-09-05T03:48:26.258131+00:00|Watching #sensex closely, no clear trend",bull_on_dalal_st,"Watching #sensex closely, no clear trend yet. What's everyone's view on 21767? Kya lagta hai aap logo ka?",2026-09-05 03:48:26.258131+00:00,8,0,0,['sensex'],['user_51e522'],sensex,2026-09-05 19:16:04.257545+00:00,[],2026-09-05
"the_bear_desk|2026-09-05T09:58:38.488845+00:00|Low volume day for #banknifty, market aw",the_bear_desk,"Low volume day for #banknifty, market awaiting 48820 confirmation Options data suggests the same.",2026-09-05 09:58:38.488845+00:00,10,2,0,['banknifty'],[],banknifty,2026-09-05 19:16:04.274128+00:00,[],2026-09-05
"MarketMaverick|2026-09-05T02:06:24.244377+00:00|#banknifty showing higher highs, 48891 b",MarketMaverick,"#banknifty showing higher highs, 48891 broken with volume, next stop 48441 Volume bhi zyada hai aaj.",2026-09-05 02:06:24.244377+00:00,12,2,2,"['banknifty', 'nifty50']",[],banknifty,2026-09-05 19:16:04.284354+00:00,[],2026-09-05
the_bear_desk|2026-09-04T23:52:05.274573+00:00|Nifty ne resistance todi! bullish moment,the_bear_desk,"Nifty ne resistance todi! bullish momentum building, 50193 ke upar accumulate karo #banknifty",2026-09-04 23:52:05.274573+00:00,9,2,0,['banknifty'],[],banknifty,2026-09-05 19:16:04.310211+00:00,[],2026-09-04
"swing_trader_in|2026-09-05T09:06:27.262506+00:00|FIIs buying heavily today, #nifty50 coul",swing_trader_in,"FIIs buying heavily today, #nifty50 could test 21772 by expiry #optionstrading #dalalstreet",2026-09-05 09:06:27.262506+00:00,15,3,0,['nifty50'],[],nifty50,2026-09-05 19:16:04.280420+00:00,[],2026-09-05
"swing_trader_in|2026-09-05T11:02:20.792740+00:00|Sensex rally continues, 49148 support ho",swing_trader_in,"Sensex rally continues, 49148 support holding well. Long positions looking good #sensex Thoughts? Reliance also in focus.",2026-09-05 11:02:20.792740+00:00,11,1,0,['sensex'],[],sensex,2026-09-05 19:16:04.260645+00:00,[],2026-09-05
sensex_scalper|2026-09-05T11:27:29.172317+00:00|Nifty ne resistance todi! bullish moment,sensex_scalper,"Nifty ne resistance todi! bullish momentum building, 22991 ke upar accumulate karo #banknifty Thoughts?",2026-09-05 11:27:29.172317+00:00,7,1,0,"['banknifty', 'nifty50']",[],banknifty,2026-09-05 19:16:04.296067+00:00,[],2026-09-05
"intraday_ishaan|2026-09-05T13:16:49.070277+00:00|Market crash ho sakta hai, 47651 ka supp",intraday_ishaan,"Market crash ho sakta hai, 47651 ka support toot gaya, bearish on #sensex",2026-09-05 13:16:49.070277+00:00,9,0,0,['sensex'],[],sensex,2026-09-05 19:16:04.253745+00:00,[],2026-09-05
"sensex_scalper|2026-09-05T09:56:48.725879+00:00|बाजार में तेजी है, 22248 के ऊपर खरीदारी ",sensex_scalper,"बाजार में तेजी है, 22248 के ऊपर खरीदारी का मौका #banknifty #optionstrading #dalalstreet",2026-09-05 09:56:48.725879+00:00,3,0,0,['banknifty'],[],banknifty,2026-09-05 19:16:04.310047+00:00,[],2026-09-05
"swing_trader_in|2026-09-04T19:08:31.708011+00:00|#nifty50 looking strong today, breakout ",swing_trader_in,"#nifty50 looking strong today, breakout above 49334, target 49954 RBI policy day today.",2026-09-04 19:08:31.708011+00:00,12,3,2,['nifty50'],[],nifty50,2026-09-05 19:16:04.286359+00:00,[],2026-09-04
"intraday_ishaan|2026-09-05T04:11:27.593779+00:00|Global markets weak overnight, #banknift",intraday_ishaan,"Global markets weak overnight, #banknifty may gap down below 21673 Volume bhi zyada hai aaj.",2026-09-05 04:11:27.593779+00:00,10,2,1,"['banknifty', 'intraday']",[],banknifty,2026-09-05 19:16:04.280600+00:00,[],2026-09-05
"riskmanager_99|2026-09-04T23:29:11.528037+00:00|Sell on rise strategy for #banknifty, re",riskmanager_99,"Sell on rise strategy for #banknifty, resistance at 21774 not breaking #stockmarket #trading",2026-09-04 23:29:11.528037+00:00,9,1,0,['banknifty'],[],banknifty,2026-09-05 19:16:04.299664+00:00,[],2026-09-04
"sensex_scalper|2026-09-05T10:55:39.105715+00:00|#banknifty consolidating near 48220, nee",sensex_scalper,"#banknifty consolidating near 48220, need a breakout either side Infosys also in focus.",2026-09-05 10:55:39.105715+00:00,4,0,0,"['banknifty', 'intraday']",[],banknifty,2026-09-05 19:16:04.268906+00:00,[],2026-09-05
"quant_priya|2026-09-04T20:07:38.093380+00:00|मंदी का माहौल है बाज़ार में, 21587 से नी",quant_priya,"मंदी का माहौल है बाज़ार में, 21587 से नीचे बिकवाली तेज #intraday #stockmarket #trading",2026-09-04 20:07:38.093380+00:00,15,2,1,['intraday'],[],intraday,2026-09-05 19:16:04.290248+00:00,[],2026-09-04
"sensex_scalper|2026-09-04T21:11:47.724695+00:00|Panic selling in #sensex, 50818 breakdow",sensex_scalper,"Panic selling in #sensex, 50818 breakdown confirmed, stop loss hit Budget session ahead, stay alert.",2026-09-04 21:11:47.724695+00:00,9,0,1,"['sensex', 'intraday']",['user_022935'],sensex,2026-09-05 19:16:04.285728+00:00,[],2026-09-04
"quant_priya|2026-09-05T11:23:22.104853+00:00|Market crash ho sakta hai, 50120 ka supp",quant_priya,"Market crash ho sakta hai, 50120 ka support toot gaya, bearish on #banknifty #optionstrading #dalalstreet TCS also in focus.",2026-09-05 11:23:22.104853+00:00,5,0,0,['banknifty'],[],banknifty,2026-09-05 19:16:04.255299+00:00,[],2026-09-05
"swing_trader_in|2026-09-05T15:39:39.444329+00:00|Buy the dip on 22498, 22048 target for s",swing_trader_in,"Buy the dip on 22498, 22048 target for swing trade #nifty50 $NIFTY RBI policy day today.",2026-09-05 15:39:39.444329+00:00,0,0,0,"['nifty50', 'intraday']",[],nifty50,2026-09-05 19:16:04.278869+00:00,['NIFTY'],2026-09-05
"bull_on_dalal_st|2026-09-04T22:01:02.321770+00:00|#banknifty consolidating near 21706, nee",bull_on_dalal_st,"#banknifty consolidating near 21706, need a breakout either side Keep an eye on FII/DII data. Adani Enterprises also in focus.",2026-09-04 22:01:02.321770+00:00,6,1,0,['banknifty'],['user_699c8d'],banknifty,2026-09-05 19:16:04.277221+00:00,[],2026-09-04
"MarketMaverick|2026-09-05T05:58:08.286066+00:00|Gap up opening expected for #intraday, 2",MarketMaverick,"Gap up opening expected for #intraday, 21991 is the level to watch DYOR.",2026-09-05 05:58:08.286066+00:00,3,0,0,['intraday'],[],intraday,2026-09-05 19:16:04.265140+00:00,[],2026-09-05
"dalalstreet_diary|2026-09-05T07:44:38.423284+00:00|Low volume day for #intraday, market awa",dalalstreet_diary,"Low volume day for #intraday, market awaiting 23153 confirmation Kya lagta hai aap logo ka?",2026-09-05 07:44:38.423284+00:00,1,0,0,"['intraday', 'sensex']",[],intraday,2026-09-05 19:16:04.273520+00:00,[],2026-09-05
"the_bear_desk|2026-09-04T22:26:57.634484+00:00|आज #sensex में भारी गिरावट, 49241 का सपो",the_bear_desk,"आज #sensex में भारी गिरावट, 49241 का सपोर्ट टूटा Keep an eye on FII/DII data. TCS also in focus.",2026-09-04 22:26:57.634484+00:00,13,1,1,['sensex'],[],sensex,2026-09-05 19:16:04.308974+00:00,[],2026-09-04
